Rank, Book_Title, Author,Column1
253,Spirit Bound (Vampire Academy  #5),Richelle Mead (Goodreads Author),4.33 avg rating — 293 000 ratings
254,The Phantom of the Opera,Gaston Leroux,3.96 avg rating — 239 603 ratings
255,The God of Small Things,Arundhati Roy (Goodreads Author),3.95 avg rating — 295 003 ratings
256,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.46 avg rating — 321 098 ratings
257,Blindness,José Saramago,4.17 avg rating — 285 007 ratings
258,Girl with a Pearl Earring,Tracy Chevalier (Goodreads Author),3.92 avg rating — 731 993 ratings
259,A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,4.42 avg rating — 926 331 ratings
260,Ella Enchanted (Ella Enchanted  #1),Gail Carson Levine (Goodreads Author),4.01 avg rating — 411 738 ratings
261,The Wind-Up Bird Chronicle,Haruki Murakami,4.15 avg rating — 279 948 ratings
262,Uglies (Uglies  #1),Scott Westerfeld (Goodreads Author),3.85 avg rating — 658 798 ratings
263,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.14 avg rating — 468 588 ratings
264,She's Come Undone,Wally Lamb (Goodreads Author),3.91 avg rating — 344 847 ratings
265,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19 avg rating — 746 731 ratings
266,The House of the Spirits,Isabel Allende (Goodreads Author),4.28 avg rating — 263 746 ratings
267,Shiver (The Wolves of Mercy Falls  #1),Maggie Stiefvater (Goodreads Author),3.76 avg rating — 479 107 ratings
268,Marked (House of Night  #1),P.C. Cast (Goodreads Author),3.81 avg rating — 492 297 ratings
269,Mockingjay (The Hunger Games  #3),Suzanne Collins,4.09 avg rating — 3 175 844 ratings
270,The Lord of the Rings,J.R.R. Tolkien,4.53 avg rating — 669 853 ratings
271,The Shack,William Paul Young,3.82 avg rating — 644 651 ratings
272,Speak,Laurie Halse Anderson (Goodreads Author),4.05 avg rating — 587 676 ratings
273,Norwegian Wood,Haruki Murakami,4.01 avg rating — 588 285 ratings
274,Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07 avg rating — 346 352 ratings
275,The Sound and the Fury,William Faulkner,3.86 avg rating — 180 630 ratings
276,The Complete Calvin and Hobbes,Bill Watterson,4.81 avg rating — 40 001 ratings
277,For Whom the Bell Tolls,Ernest Hemingway,3.98 avg rating — 291 116 ratings
278,Island of the Blue Dolphins,Scott O'Dell,3.87 avg rating — 330 737 ratings
279,Roots: The Saga of an American Family,Alex Haley,4.44 avg rating — 159 350 ratings
280,Stranger in a Strange Land,Robert A. Heinlein,3.92 avg rating — 310 971 ratings
281,Paper Towns,John Green (Goodreads Author),3.72 avg rating — 1 340 067 ratings
282,Kafka on the Shore,Haruki Murakami,4.13 avg rating — 460 493 ratings
283,Othello,William Shakespeare,3.89 avg rating — 385 593 ratings
284,The Complete Sherlock Holmes,Arthur Conan Doyle,4.50 avg rating — 198 943 ratings
285,The Girl Who Kicked the Hornet's Nest (Millennium  #3),Stieg Larsson,4.24 avg rating — 730 754 ratings
286,The Idiot,Fyodor Dostoevsky,4.21 avg rating — 179 492 ratings
287,Into the Wild,Jon Krakauer (Goodreads Author),4.01 avg rating — 1 079 472 ratings
288,Inkheart (Inkworld  #1),Cornelia Funke (Goodreads Author),3.92 avg rating — 421 529 ratings
289,Crooked Kingdom (Six of Crows  #2),Leigh Bardugo (Goodreads Author),4.60 avg rating — 621 596 ratings
290,Neverwhere (London Below  #1),Neil Gaiman (Goodreads Author),4.17 avg rating — 524 699 ratings
291,The Way of Kings (The Stormlight Archive  #1),Brandon Sanderson (Goodreads Author),4.66 avg rating — 478 919 ratings
292,King Lear,William Shakespeare,3.91 avg rating — 216 724 ratings
293,Beautiful Disaster (Beautiful  #1),Jamie McGuire (Goodreads Author),4.02 avg rating — 677 376 ratings
294,The Things They Carried,Tim O'Brien,4.14 avg rating — 309 925 ratings
295,Delirium (Delirium  #1),Lauren Oliver (Goodreads Author),3.95 avg rating — 464 721 ratings
296,White Oleander,Janet Fitch (Goodreads Author),3.99 avg rating — 351 762 ratings
297,Blood River: A Journey to Africa's Broken Heart,Tim Butcher (Goodreads Author),3.98 avg rating — 11 456 ratings
298,The Vampire Lestat (The Vampire Chronicles  #2),Anne Rice,4.09 avg rating — 198 993 ratings
