Rank,Book_Title,Author
355,The Fountainhead,Ayn Rand
356,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn
357,The Killer Angels,Michael Shaara
358,The Shining,Stephen King
359,The Secret History,Donna Tartt
360,Henderson The Rain King,Saul Bellow
361,Collected Poems,Wallace Stevens
362,Notes from the Underground,Fyodor Dostoevsky
363,Of Human Bondage,W. Somerset Maugham
364,Naked Lunch,William S. Burroughs
365,Cold Comfort Farm,Stella Gibbons
366,Tropic of Cancer,Henry Miller
367,Sophie's Choice,William Styron
368,Clarissa,Samuel Richardson
369,Labyrinths,Jorge Luis Borges
370,The Death of Ivan Ilyich,Leo Tolstoy
371,Foundation,Isaac Asimov
372,The Murder of Roger Ackroyd,Agatha Christie
373,The Forsyte Saga,John Galsworthy
374,The Education of Henry Adams,Henry Adams
375,The Thorn Birds,Colleen McCullough
376,A Suitable Boy,Vikram Seth
377,The Art of War,Sun Zi
378,The Underground Railroad,Colson Whitehead
379,Watchmen,Alan Moore
380,Anniversaries,Uwe Johnson
381,Oblomov,Ivan Goncharov
382,Leviathan,Thomas Hobbes
383,Independent People,Halldor Laxness
384,The Second Sex,Simone de Beauvoir
385,The Principles of Psychology,Will James
386,The Electric Kool-Aid Acid Test,Tom Wolfe
387,The Second World War,Winston Churchill
388,Dubliners,James Joyce
389,Parade's End,Ford Madox Ford
390,Beowulf,
391,Dispatches,Michael Herr
392,Money,Martin Amis
393,Winesburg  Ohio,Sherwood Anderson
394,Persuasion,Jane Austen
395,Life of Pi,Yann Martel
396,The Varieties of Religious Experience,Will James
397,The Complete Poetry and Prose of William Blake,William Blake
398,Hiroshima,John Hersey
399,The Death and Life of Great American Cities,Jane Jacobs
400,The Princess of Cleves,Madame de La Fayette
401,Babbitt,Sinclair Lewis
402,A Game of Thrones,George R. R. Martin
403,The Bacchae,Euripides
404,Le Morte d'Arthur,Thomas Malory
405,A Fine Balance,Rohinton Mistry
406,Philosophical Investigations,Ludwig Wittgenstein
407,Sing  Unburied  Sing,Jesmyn Ward
